offensive_binary_label	tweet_id	agreement_level	annotation	domain	split
0	1269991233235177472	A0	N0	BLM	train
0	1270120132279296000	A++	N++	BLM	train
1	1268500985510576128	A++	O++	BLM	train
0	1268190475510521858	A+	N+	BLM	train
0	1268582257666723841	A++	N++	BLM	train
1	1271777261948207104	A0	O0	BLM	train
1	1270952045323841536	A0	O0	BLM	train
0	1268668684194713600	A+	N+	BLM	train
0	1269070151791640581	A++	N++	BLM	train
0	1271182650837995521	A+	N+	BLM	train
1	1268672858558873600	A0	O0	BLM	train
0	1271576324096786433	A0	N0	BLM	train
1	1269024035314245641	A0	O0	BLM	train
1	1268280397009387522	A0	O0	BLM	train
0	1268549125387300867	A++	N++	BLM	train
0	1269508707957653504	A++	N++	BLM	train
0	1272818268319948802	A0	N0	BLM	train
0	1270503749446967296	A++	N++	BLM	train
1	1268812478193889281	A0	O0	BLM	train
0	1267982097643380742	A++	N++	BLM	train
0	1272185122373189639	A++	N++	BLM	train
1	1270192091969261570	A0	O0	BLM	train
0	1268810814045249536	A+	N+	BLM	train
1	1268770111000846336	A++	O++	BLM	train
0	1268274559133810689	A++	N++	BLM	train
0	1268218568795197447	A++	N++	BLM	train
1	1272587303651872774	A0	O0	BLM	train
0	1270459611091476481	A++	N++	BLM	train
0	1269369247148371970	A0	N0	BLM	train
0	1268848100543782912	A+	N+	BLM	train
1	1269248869449101319	A+	O+	BLM	train
0	1270702360009027588	A+	N+	BLM	train
0	1268848877668630530	A0	N0	BLM	train
1	1270720157459992577	A++	O++	BLM	train
1	1271631937166344192	A++	O++	BLM	train
0	1270228752451207171	A++	N++	BLM	train
0	1268228827475517446	A++	N++	BLM	train
0	1269883468265078785	A++	N++	BLM	train
1	1267722525611397120	A0	O0	BLM	train
0	1271139958414356480	A++	N++	BLM	train
0	1271962681285771264	A+	N+	BLM	train
0	1268037535080411136	A++	N++	BLM	train
0	1272229476781322241	A+	N+	BLM	train
0	1268949891637751808	A0	N0	BLM	train
0	1269172453563080705	A+	N+	BLM	train
0	1270828181235302400	A0	N0	BLM	train
0	1268998030964846592	A+	N+	BLM	train
1	1272007965030006790	A0	O0	BLM	train
0	1268997326078607365	A++	N++	BLM	train
0	1270052586654019584	A++	N++	BLM	train
0	1269740138302603264	A++	N++	BLM	train
0	1270691691859566593	A++	N++	BLM	train
0	1270849187341430786	A++	N++	BLM	train
1	1269069680829964289	A++	O++	BLM	train
1	1269576625148092417	A0	O0	BLM	train
1	1268725518414884864	A0	O0	BLM	train
0	1271423782696022018	A+	N+	BLM	train
0	1268627584419536898	A++	N++	BLM	train
0	1270717218225963010	A++	N++	BLM	train
0	1272759718692487170	A++	N++	BLM	train
1	1268950878381314050	A0	O0	BLM	train
1	1271044908921565185	A+	O+	BLM	train
1	1270542034156154883	A+	O+	BLM	train
0	1271171414805164033	A++	N++	BLM	train
0	1267980458035421184	A++	N++	BLM	train
0	1271199713698734080	A+	N+	BLM	train
0	1270081203018911746	A++	N++	BLM	train
0	1271343352781262849	A++	N++	BLM	train
0	1270914234998718464	A+	N+	BLM	train
0	1272726319747313664	A++	N++	BLM	train
0	1270542959985885184	A+	N+	BLM	train
0	1269012178121773058	A++	N++	BLM	train
0	1271046060769755138	A+	N+	BLM	train
0	1271553693859512322	A++	N++	BLM	train
1	1267768754307555329	A0	O0	BLM	train
0	1268964413610110982	A++	N++	BLM	train
0	1269353972558696451	A0	N0	BLM	train
0	1268143122258833413	A++	N++	BLM	train
0	1268039170045276161	A+	N+	BLM	train
0	1270166624344190976	A++	N++	BLM	train
0	1271461516404051969	A++	N++	BLM	train
0	1268897550968520710	A0	N0	BLM	train
0	1270127034048495616	A+	N+	BLM	train
0	1269960677952827392	A++	N++	BLM	train
0	1268687912088096773	A+	N+	BLM	train
0	1271822328238915586	A+	N+	BLM	train
0	1268629349995077635	A++	N++	BLM	train
0	1269034671318450177	A++	N++	BLM	train
0	1270868098476683265	A+	N+	BLM	train
0	1268761011630362635	A0	N0	BLM	train
1	1270990168711987202	A++	O++	BLM	train
0	1270544202049478656	A++	N++	BLM	train
0	1269691624579305473	A++	N++	BLM	train
0	1269096780035219457	A++	N++	BLM	train
0	1269544734336442368	A++	N++	BLM	train
0	1268972956610224128	A++	N++	BLM	train
0	1269323473022746625	A++	N++	BLM	train
0	1270427013283811328	A+	N+	BLM	train
0	1269402865069633536	A++	N++	BLM	train
0	1271972949688381442	A+	N+	BLM	train
0	1269931728971476998	A++	N++	BLM	train
0	1268091196825407488	A+	N+	BLM	train
0	1268135572213764097	A+	N+	BLM	train
0	1268194593847128065	A+	N+	BLM	train
0	1267850700610064386	A++	N++	BLM	train
0	1271537790229102597	A+	N+	BLM	train
0	1269797992103632897	A++	N++	BLM	train
0	1266428839233806336	A++	N++	BLM	train
0	1270680492820463616	A0	N0	BLM	train
0	1272740508050182144	A0	N0	BLM	train
0	1268715527452725248	A0	N0	BLM	train
0	1271242878476406784	A0	N0	BLM	train
0	1272971037131464704	A+	N+	BLM	train
1	1269084545682305026	A0	O0	BLM	train
0	1270893859506094080	A+	N+	BLM	train
0	1270284122426978305	A+	N+	BLM	train
0	1271241808761274368	A0	N0	BLM	train
0	1270077921311555584	A+	N+	BLM	train
1	1268923280087371782	A+	O+	BLM	train
0	1270722185598885896	A+	N+	BLM	train
1	1268954681893621761	A0	O0	BLM	train
1	1269738206473474052	A+	O+	BLM	train
1	1270717294251880454	A0	O0	BLM	train
1	1270244829289644038	A+	O+	BLM	train
1	1272364232068268032	A+	O+	BLM	train
0	1270875340580311047	A+	N+	BLM	train
0	1272887711133818882	A0	N0	BLM	train
1	1268961526255411203	A+	O+	BLM	train
1	1271841601841741828	A0	O0	BLM	train
0	1270389176245145616	A+	N+	BLM	train
1	1272237228056551428	A0	O0	BLM	train
0	1268720158224330759	A+	N+	BLM	train
0	1270041408770981888	A+	N+	BLM	train
1	1269717432626606080	A+	O+	BLM	train
0	1267965328837038081	A+	N+	BLM	train
0	1269555046963953664	A0	N0	BLM	train
1	1271870936984309760	A++	O++	BLM	train
0	1268645532378988553	A+	N+	BLM	train
1	1268038033733046272	A0	O0	BLM	train
1	1269988334350319618	A0	O0	BLM	train
0	1270455150013014016	A+	N+	BLM	train
0	1269915227719716864	A0	N0	BLM	train
0	1268209542053183489	A+	N+	BLM	train
0	1270365158150463489	A0	N0	BLM	train
1	1269306277898969093	A+	O+	BLM	train
0	1269958346146222081	A0	N0	BLM	train
1	1268794052247351296	A0	O0	BLM	train
0	1268716721931644929	A0	N0	BLM	train
0	1269010998112989185	A+	N+	BLM	train
1	1269615817915760641	A0	O0	BLM	train
0	1269295229540196354	A+	N+	BLM	train
0	1269797788360929281	A+	N+	BLM	train
1	1268548060076019714	A0	O0	BLM	train
0	1269428722974593024	A0	N0	BLM	train
1	1270434600452571136	A0	O0	BLM	train
1	1270651666027683842	A+	O+	BLM	train
0	1268273690292162560	A+	N+	BLM	train
1	1268187731924078593	A0	O0	BLM	train
1	1268000901345599488	A+	O+	BLM	train
0	1271072256781942784	A+	N+	BLM	train
0	1268975096309350403	A0	N0	BLM	train
0	1269003977246543875	A+	N+	BLM	train
0	1269342562818625537	A+	N+	BLM	train
0	1270708074056232961	A0	N0	BLM	train
1	1270109532686082049	A0	O0	BLM	train
0	1271028400799563777	A+	N+	BLM	train
0	1268666985723781121	A0	N0	BLM	train
0	1271735104700854272	A+	N+	BLM	train
0	1272858319418523648	A0	N0	BLM	train
1	1268623290580504576	A0	O0	BLM	train
0	1268655904267919362	A+	N+	BLM	train
0	1271750138558644224	A+	N+	BLM	train
1	1270747014016491520	A++	O++	BLM	train
0	1271972200094916609	A+	N+	BLM	train
1	1271862250404483073	A0	O0	BLM	train
1	1270102474817523712	A+	O+	BLM	train
0	1272331040070172672	A0	N0	BLM	train
1	1269624327529353218	A0	O0	BLM	train
0	1270298399300939776	A+	N+	BLM	train
1	1267979857830596609	A++	O++	BLM	train
0	1270233262196248589	A+	N+	BLM	train
0	1268673000020328455	A+	N+	BLM	train
1	1269541126328987650	A+	O+	BLM	train
0	1268401696121786368	A0	N0	BLM	train
0	1270441719092449287	A0	N0	BLM	train
1	1270767589359333381	A+	O+	BLM	train
0	1269035237129871360	A0	N0	BLM	train
1	1268526742257504262	A++	O++	BLM	train
0	1272639999280906240	A0	N0	BLM	train
0	1271708196223270917	A+	N+	BLM	train
1	1269440868823465986	A+	O+	BLM	train
0	1269600966296436736	A+	N+	BLM	train
1	1268134633453039616	A++	O++	BLM	train
0	1272221824709992459	A+	N+	BLM	train
0	1270850455820570624	A+	N+	BLM	train
0	1268757742107451394	A+	N+	BLM	train
0	1270871565207572481	A+	N+	BLM	train
1	1269442177165230081	A++	O++	BLM	train
0	1272745461498118145	A+	N+	BLM	train
0	1272514805954478080	A+	N+	BLM	train
1	1267782479060049926	A++	O++	BLM	train
0	1272338351249657856	A0	N0	BLM	train
0	1272471623832973313	A+	N+	BLM	train
0	1271529026163793921	A0	N0	BLM	train
0	1269989677831983105	A0	N0	BLM	train
0	1268851466288201728	A0	N0	BLM	train
0	1269301609399549953	A0	N0	BLM	train
0	1268884831728893952	A+	N+	BLM	train
0	1268640587034451969	A0	N0	BLM	train
0	1268561247156527109	A0	N0	BLM	train
0	1269166309503311873	A0	N0	BLM	train
0	1268238831767216129	A0	N0	BLM	train
0	1269990389920010240	A+	N+	BLM	train
0	1268723349359820800	A0	N0	BLM	train
1	1269314616842235908	A++	O++	BLM	train
0	1272716460692037634	A+	N+	BLM	train
0	1269675905259053057	A0	N0	BLM	train
0	1270216290729328640	A+	N+	BLM	train
0	1268343048028803072	A0	N0	BLM	train
0	1271156826189500417	A0	N0	BLM	train
1	1269009490378096643	A0	O0	BLM	train
1	1268890781609328642	A0	O0	BLM	train
1	1270788654999506945	A+	O+	BLM	train
0	1271989359630266368	A0	N0	BLM	train
0	1271783878672424960	A+	N+	BLM	train
0	1267845259100389378	A+	N+	BLM	train
0	1268278551926550528	A+	N+	BLM	train
0	1269137620010926080	A0	N0	BLM	train
1	1268021557768654848	A++	O++	BLM	train
0	1268598129156337667	A+	N+	BLM	train
1	1271637741147750401	A0	O0	BLM	train
0	1268978551673417728	A+	N+	BLM	train
1	1270603096977260544	A0	O0	BLM	train
0	1269593342305636352	A+	N+	BLM	train
0	1270371637724975104	A+	N+	BLM	train
1	1270943725951344641	A+	O+	BLM	train
1	1268769550905958402	A0	O0	BLM	train
0	1270348372038254594	A0	N0	BLM	train
0	1269556426482974721	A0	N0	BLM	train
1	1270394335863791617	A0	O0	BLM	train
1	1268328195218198528	A+	O+	BLM	train
1	1269086986410889217	A++	O++	BLM	train
1	1272021888261337088	A0	O0	BLM	train
0	1268235833066192896	A+	N+	BLM	train
1	1267714991894953984	A0	O0	BLM	train
0	1269083337383018496	A+	N+	BLM	train
1	1268475051369734144	A+	O+	BLM	train
0	1271742538450374657	A0	N0	BLM	train
0	1270448681490284546	A+	N+	BLM	train
1	1268091896993320960	A0	O0	BLM	train
0	1270753800098365440	A0	N0	BLM	train
1	1268523771687813121	A++	O++	BLM	train
0	1270524194493804546	A0	N0	BLM	train
1	1268930318008029185	A0	O0	BLM	train
1	1270841342470619142	A+	O+	BLM	train
0	1271210727823548418	A+	N+	BLM	train
0	1271851791685242881	A+	N+	BLM	train
1	1269216615918448641	A+	O+	BLM	train
0	1269212484944252930	A0	N0	BLM	train
0	1272137788926898177	A0	N0	BLM	train
1	1270847292686299137	A0	O0	BLM	train
0	1269784612999397382	A+	N+	BLM	train
0	1270542753907109889	A0	N0	BLM	train
1	1271494065515683841	A0	O0	BLM	train
0	1272029827583709190	A+	N+	BLM	train
0	1269123070494679041	A+	N+	BLM	train
0	1269191382096326657	A0	N0	BLM	train
0	1268496382593302528	A+	N+	BLM	train
0	1269502686715678720	A0	N0	BLM	train
0	1272871368581951488	A+	N+	BLM	train
0	1269571896288382978	A+	N+	BLM	train
1	1268804825371668480	A++	O++	BLM	train
0	1270371743098703873	A+	N+	BLM	train
0	1268180840556761089	A0	N0	BLM	train
1	1271541666156085248	A+	O+	BLM	train
0	1269053893444501507	A+	N+	BLM	train
1	1267924023322783745	A++	O++	BLM	train
1	1270805073409400833	A0	O0	BLM	train
0	1271378805068689410	A0	N0	BLM	train
1	1271779272789757954	A0	O0	BLM	train
0	1270545249790824449	A0	N0	BLM	train
1	1272123096124870658	A++	O++	BLM	train
1	1271269876506562560	A++	O++	BLM	train
0	1269388398600482816	A+	N+	BLM	train
1	1267948174024544265	A0	O0	BLM	train
1	1271554197415178245	A+	O+	BLM	train
1	1267995275970277376	A++	O++	BLM	train
0	1269112125114499073	A+	N+	BLM	train
0	1271477267106062337	A+	N+	BLM	train
0	1270775787000651777	A+	N+	BLM	train
0	1268961627170365442	A+	N+	BLM	train
1	1267879462957314048	A0	O0	BLM	train
0	1269502346641289216	A+	N+	BLM	train
1	1272680443977109517	A+	O+	BLM	train
0	1269207922153852930	A0	N0	BLM	train
1	1268283987270631424	A0	O0	BLM	train
1	1268926387961954308	A0	O0	BLM	train
1	1270508417204064256	A+	O+	BLM	train
1	1269348732031496193	A0	O0	BLM	train
0	1269710043261235202	A0	N0	BLM	train
0	1269031945192734721	A+	N+	BLM	train
0	1271535084915486720	A+	N+	BLM	train
0	1270494155458969600	A0	N0	BLM	train
1	1267954881161310209	A+	O+	BLM	train
0	1269502824909602816	A0	N0	BLM	train
1	1270386874477998082	A0	O0	BLM	train
1	1269845344910639104	A++	O++	BLM	train
1	1269878029641285632	A+	O+	BLM	train
1	1272938792366702600	A++	O++	BLM	train
0	1271106761865531392	A+	N+	BLM	train
1	1267819996349992960	A++	O++	BLM	train
0	1272160771980443650	A+	N+	BLM	train
1	1268317331689701379	A0	O0	BLM	train
1	1268335967296868354	A+	O+	BLM	train
0	1268208975797014541	A0	N0	BLM	train
1	1271546995837153287	A+	O+	BLM	train
1	1272033974332907521	A+	O+	BLM	train
0	1270774198177316867	A0	N0	BLM	train
0	1268400291944202240	A0	N0	BLM	train
0	1270021834050867202	A0	N0	BLM	train
1	1268734762635706371	A+	O+	BLM	train
1	1270784128682733569	A0	O0	BLM	train
1	1267691797926555650	A0	O0	BLM	train
0	1270410449771810816	A0	N0	BLM	train
0	1268815727915528193	A0	N0	BLM	train
0	1272034794348699650	A0	N0	BLM	train
0	1269513321222373376	A0	N0	BLM	train
1	1268247601532620801	A+	O+	BLM	train
1	1272904672932696070	A+	O+	BLM	train
0	1269148964085010433	A0	N0	BLM	train
1	1271003940319002626	A+	O+	BLM	train
0	1270430795535134730	A0	N0	BLM	train
1	1267877454095568897	A+	O+	BLM	train
0	1269063725241315329	A0	N0	BLM	train
1	1269497355708948480	A0	O0	BLM	train
1	1271196607631982594	A0	O0	BLM	train
1	1268114286083178499	A+	O+	BLM	train
0	1272035074821754880	A0	N0	BLM	train
0	1272208764121251846	A0	N0	BLM	train
1	1270469354791022592	A+	O+	BLM	train
1	1269057346031857664	A0	O0	BLM	train
0	1270002897628073984	A0	N0	BLM	train
1	1267965840663687170	A+	O+	BLM	train
1	1270106514842320896	A0	O0	BLM	train
1	1268346172143476737	A+	O+	BLM	train
1	1269164074467614720	A+	O+	BLM	train
0	1272714161349369856	A0	N0	BLM	train
1	1270490393432514565	A0	O0	BLM	train
1	1267983268349173761	A0	O0	BLM	train
1	1270745771676184576	A+	O+	BLM	train
1	1272941713343033348	A0	O0	BLM	train
0	1270680703160680450	A0	N0	BLM	train
1	1270325449172942849	A+	O+	BLM	train
1	1271942894165864448	A0	O0	BLM	train
1	1268672942650646530	A++	O++	BLM	train
1	1268382577783713794	A0	O0	BLM	train
0	1270112575448121352	A0	N0	BLM	train
0	1269033542471897088	A0	N0	BLM	train
0	1268927246498136064	A0	N0	BLM	train
1	1272219531008761857	A++	O++	BLM	train
1	1268896456750051328	A++	O++	BLM	train
0	1268527508456189952	A0	N0	BLM	train
1	1268616683490439168	A++	O++	BLM	train
1	1268713472730300417	A+	O+	BLM	train
1	1267975105998655488	A0	O0	BLM	train
1	1269684054607216646	A0	O0	BLM	train
0	1268028848161112066	A0	N0	BLM	train
1	1271325070133088258	A+	O+	BLM	train
0	1271920097788153864	A0	N0	BLM	train
0	1270230809157525504	A0	N0	BLM	train
1	1270187258965090305	A0	O0	BLM	train
1	1267777114683686912	A0	O0	BLM	train
0	1270750141629292545	A0	N0	BLM	train
1	1268687262281281539	A0	O0	BLM	train
1	1271908715994714112	A++	O++	BLM	train
1	1270454053428961280	A+	O+	BLM	train
1	1268311035775201281	A+	O+	BLM	train
0	1268089190924853250	A0	N0	BLM	train
1	1268017829149839360	A0	O0	BLM	train
1	1271610014361321473	A0	O0	BLM	train
0	1271144132644409346	A0	N0	BLM	train
1	1271802349917536257	A+	O+	BLM	train
1	1270045902112260098	A0	O0	BLM	train
1	1272959643153657857	A+	O+	BLM	train
0	1270874909925707777	A0	N0	BLM	train
1	1270541989331812352	A++	O++	BLM	train
0	1270059798046728196	A0	N0	BLM	train
1	1269713754004041729	A+	O+	BLM	train
0	1271599160521703424	A0	N0	BLM	train
0	1268570730616111104	A0	N0	BLM	train
1	1269600367618199554	A0	O0	BLM	train
1	1270819863272067075	A++	O++	BLM	train
0	1268777438751965185	A0	N0	BLM	train
0	1270300042415480833	A0	N0	BLM	train
1	1272334799479414784	A++	O++	BLM	train
0	1268329683952664576	A0	N0	BLM	train
1	1268996538489081868	A+	O+	BLM	train
1	1270491780723638273	A++	O++	BLM	train
1	1272648368460689408	A+	O+	BLM	train
1	1269761200964935680	A++	O++	BLM	train
1	1269116292688154630	A0	O0	BLM	train
0	1270166384761360384	A0	N0	BLM	train
1	1271212690342436864	A++	O++	BLM	train
0	1268921207031808000	A0	N0	BLM	train
1	1269039381572190208	A++	O++	BLM	train
1	1268651223718166528	A0	O0	BLM	train
1	1271933748209225737	A+	O+	BLM	train
0	1269995912870293505	A0	N0	BLM	train
0	1270835475603877888	A0	N0	BLM	train
1	1269096269026340864	A++	O++	BLM	train
1	1271024514554572800	A0	O0	BLM	train
0	1270157667349250048	A0	N0	BLM	train
0	1270617386060832768	A0	N0	BLM	train
1	1272401078567317505	A++	O++	BLM	train
0	1268340547833466881	A0	N0	BLM	train
1	1272568115973455873	A++	O++	BLM	train
1	1269917261919387649	A++	O++	BLM	train
0	1269346674373283842	A0	N0	BLM	train
0	1268107782215041024	A0	N0	BLM	train
1	1272912089183633408	A++	O++	BLM	train
0	1268900806067212289	A0	N0	BLM	train
1	1269821623403597824	A+	O+	BLM	train
1	1270491131286114309	A++	O++	BLM	train
1	1269299169719705600	A0	O0	BLM	train
1	1267902188501770241	A0	O0	BLM	train
1	1270056286906920965	A++	O++	BLM	train
1	1268674268512104449	A+	O+	BLM	train
1	1272616994202738688	A++	O++	BLM	train
1	1268532260107583488	A0	O0	BLM	train
1	1268783130493755395	A+	O+	BLM	train
1	1268936054977028098	A++	O++	BLM	train
1	1270858204159803397	A0	O0	BLM	train
1	1270926791172141057	A+	O+	BLM	train
1	1267885611408658432	A0	O0	BLM	train
1	1267808646160842753	A0	O0	BLM	train
1	1271458713992179714	A+	O+	BLM	train
1	1269051183580114946	A+	O+	BLM	train
1	1271500009767407618	A+	O+	BLM	train
1	1268916015318040585	A+	O+	BLM	train
1	1267931120475140096	A0	O0	BLM	train
1	1267789345089556481	A0	O0	BLM	train
1	1268881610683768840	A++	O++	BLM	train
1	1268800974296166401	A++	O++	BLM	train
1	1269068699790716929	A0	O0	BLM	train
1	1269776971547852800	A0	O0	BLM	train
1	1271077679345872896	A0	O0	BLM	train
1	1270330771706953728	A++	O++	BLM	train
1	1269184999095283713	A++	O++	BLM	train
1	1269073988967424000	A++	O++	BLM	train
1	1271235168863432705	A+	O+	BLM	train
1	1270766712518922245	A+	O+	BLM	train
1	1270527209120370692	A0	O0	BLM	train
1	1269032788772126721	A++	O++	BLM	train
1	1270024094524813314	A0	O0	BLM	train
1	1271538337447325697	A++	O++	BLM	train
1	1272102500976529414	A++	O++	BLM	train
1	1269227246121881600	A++	O++	BLM	train
1	1272983323233726467	A0	O0	BLM	train
1	1270826414250614787	A0	O0	BLM	train
1	1268907945116524544	A++	O++	BLM	train
1	1269126519168925696	A+	O+	BLM	train
1	1271799743740383232	A+	O+	BLM	train
1	1272079943061602305	A++	O++	BLM	train
1	1271492932550266881	A++	O++	BLM	train
1	1272649774458691584	A+	O+	BLM	train
1	1269735154374905864	A++	O++	BLM	train
1	1270234117062393858	A+	O+	BLM	train
1	1270750493791444992	A0	O0	BLM	train
1	1268865910015774720	A+	O+	BLM	train
1	1268342712375431169	A++	O++	BLM	train
1	1271974513455005697	A0	O0	BLM	train
1	1268012577440833537	A0	O0	BLM	train
1	1269671945328488449	A++	O++	BLM	train
1	1268374966409535490	A0	O0	BLM	train
1	1268279197555965957	A+	O+	BLM	train
1	1268733482886483971	A++	O++	BLM	train
1	1270466872878694401	A0	O0	BLM	train
1	1270943105517322241	A++	O++	BLM	train
1	1269719720078577666	A+	O+	BLM	train
1	1268981961395232768	A++	O++	BLM	train
1	1268550019029905411	A0	O0	BLM	train
1	1268228781308874754	A0	O0	BLM	train
1	1270670287726505986	A++	O++	BLM	train
1	1268858486160601090	A++	O++	BLM	train
1	1268670820148285453	A0	O0	BLM	train
1	1272367542305124352	A0	O0	BLM	train
1	1268944901271621633	A0	O0	BLM	train
1	1269985698700046336	A0	O0	BLM	train
1	1269066040505520129	A++	O++	BLM	train
1	1272962167785107456	A0	O0	BLM	train
1	1271080207454265345	A++	O++	BLM	train
1	1269832023977279493	A+	O+	BLM	train
1	1268139049035993089	A0	O0	BLM	train
1	1271904592905854978	A+	O+	BLM	train
1	1271329414664425478	A0	O0	BLM	train
1	1270665024164507652	A+	O+	BLM	train
1	1272976953419546624	A0	O0	BLM	train
